id,source,short_name,title,doc_type,url,published_date,local_path,sha256,downloaded_at,status
02015L2366-20250117,eurlex,psd2,,directive,https://publications.europa.eu/resource/cellar/7968d8a5-d7ed-11ef-be2a-01aa75ed71a1.0006.03/DOC_1,,docs/primary/celex_02015L2366-20250117_psd2.pdf,8ad3a99f116f5cfe74d47795f758394ac7ada11df9ea6ac2d2e86a63dc320f57,2026-04-24T21:04:00.134575+00:00,unchanged
02009L0110-20180113,eurlex,emd2,,directive,https://publications.europa.eu/resource/cellar/9cd204dd-3a5f-4404-a93d-75a305381839.0020.03/DOC_1,,docs/primary/celex_02009L0110-20180113_emd2.pdf,98f5f2b64cf6e48bac81d06371ae23cfd9a7f64c9a322fafb049fbbdd999c273,2026-04-24T21:04:17.643569+00:00,unchanged
02012R0260-20240408,eurlex,sepa,,regulation,https://publications.europa.eu/resource/cellar/ff7a3e82-f6bc-11ee-a251-01aa75ed71a1.0001.03/DOC_1,,docs/primary/celex_02012R0260-20240408_sepa.pdf,86c5798bff76468fa7966540e85dc071ebd67d3b95276435bc515a72bdc786eb,2026-04-24T21:04:37.227836+00:00,unchanged
32024R0886,eurlex,instant_payments,,regulation,https://publications.europa.eu/resource/cellar/d395dbf7-e597-11ee-8b2b-01aa75ed71a1.0006.01/DOC_1,,docs/primary/celex_32024R0886_instant_payments.pdf,3ab34a7009e24e3ee797a16b1942f04649c64dd1b1bd8c27dd98f0eaf16b527a,2026-04-24T21:04:55.968929+00:00,unchanged
02021R1230-20240408,eurlex,cross_border_payments,,regulation,https://publications.europa.eu/resource/cellar/cccea9e5-f695-11ee-a251-01aa75ed71a1.0006.03/DOC_1,,docs/primary/celex_02021R1230-20240408_cross_border_payments.pdf,b1e0d8604ef802d8c5e2652b441fcda206b508f6d39de742987da5b143846b3b,2026-04-24T21:05:14.043544+00:00,unchanged
32015R0751,eurlex,interchange_fees,,regulation,https://publications.europa.eu/resource/cellar/62bab217-fdf3-11e4-a4c8-01aa75ed71a1.0006.01,,docs/primary/celex_32015R0751_interchange_fees.pdf,c0fdd98ec36984715bd26b3c375339bbd02bcb799af84624c803315ef516d82e,2026-04-24T21:16:06.385485+00:00,unchanged
32024R1624,eurlex,amlr,,regulation,https://publications.europa.eu/resource/cellar/868bf3cf-2dd4-11ef-a61b-01aa75ed71a1.0006.01,,docs/primary/celex_32024R1624_amlr.pdf,c4024f4c4c1616cc729ed4ec4333274d711324efa9750d3d531bf90770ed8eb6,2026-04-24T21:16:30.936656+00:00,unchanged
32024L1640,eurlex,amld6,,directive,https://publications.europa.eu/resource/cellar/698476cd-2dd4-11ef-a61b-01aa75ed71a1.0006.01,,docs/primary/celex_32024L1640_amld6.pdf,df546f2364aaf9e2fc5e718ff47e6ccca6b553a83d21969483cb28f6e9cfbb6a,2026-04-24T21:16:56.123492+00:00,unchanged
02024R1620-20251110,eurlex,amla,,regulation,https://publications.europa.eu/resource/cellar/b6ab36aa-cff0-11f0-8da2-01aa75ed71a1.0007.03/DOC_1,,docs/primary/celex_02024R1620-20251110_amla.pdf,fde2aa2c080af55a143590e84166f48e0abaef7eb0624b190107eca1e790398e,2026-04-24T21:06:21.860167+00:00,unchanged
32023R1113,eurlex,transfer_of_funds,,regulation,https://publications.europa.eu/resource/cellar/48eca7a6-0660-11ee-b12e-01aa75ed71a1.0006.01,,docs/primary/celex_32023R1113_transfer_of_funds.pdf,d7502c011527b67c3e12a221ad74afd6adaf7b2f93171e0f52d101dadbf25527,2026-04-24T21:17:40.131040+00:00,unchanged
02016R0679-20160504,eurlex,gdpr,,regulation,https://publications.europa.eu/resource/cellar/5f2552c2-cc45-11e6-ad7c-01aa75ed71a1.0022.02/DOC_1,,docs/primary/celex_02016R0679-20160504_gdpr.pdf,18e6c90c505143021c086d72fb93ac898ba2e078e2f1b8236e8ce2ff237c052c,2026-04-24T21:06:57.508897+00:00,unchanged
02002L0058-20091219,eurlex,eprivacy,,directive,https://publications.europa.eu/resource/cellar/6def8269-d337-4373-83c1-8c57678fc93f.0006.04/DOC_1,,docs/primary/celex_02002L0058-20091219_eprivacy.pdf,354b55874d4da9e03302b77670269764efad829a1668c27688fd5c9c3005a02c,2026-04-24T21:07:14.918096+00:00,unchanged
32022R2554,eurlex,dora,,regulation,https://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0006.01,,docs/primary/celex_32022R2554_dora.pdf,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,2026-04-24T21:18:36.203059+00:00,unchanged
02022L2555-20221227,eurlex,nis2,,directive,https://publications.europa.eu/resource/cellar/2910a5ae-0a8c-11ee-b12e-01aa75ed71a1.0005.03/DOC_1,,docs/primary/celex_02022L2555-20221227_nis2.pdf,dd11e6e72dca6d3b8b9619a1fece379d48526022ddda6cb93496eeba67ac0248,2026-04-24T21:07:48.620135+00:00,unchanged
02023R1114-20240109,eurlex,mica,,regulation,https://publications.europa.eu/resource/cellar/92d9c8a8-b47a-11ee-b164-01aa75ed71a1.0006.03,,docs/primary/celex_02023R1114-20240109_mica.pdf,07ea14cbe794b089a47a03658367ceb8634c71edb4d3146eb5e43f2555b45ede,2026-04-24T21:19:13.901104+00:00,unchanged
02013R0575-20260626,eurlex,crr,,regulation,https://publications.europa.eu/resource/cellar/5e2e0133-2d76-11f1-906d-01aa75ed71a1.0006.02/DOC_1,,docs/primary/celex_02013R0575-20260626_crr.pdf,6796302ed4213bcba4d4b9b17dc48aefcaf7ef586b875c30c8c71a7689288ecf,2026-04-24T21:08:24.524129+00:00,unchanged
